,snapshot,component_buy,fieldtype_buy,field_buy,value_buy,mode_buy,component_sell,fieldtype_sell,field_sell,value_sell,mode_sell
0,t1,buy_electricity,exp,value,2.750791331872413,primal,sell_electricity,exp,value,0.0,primal
1,t2,buy_electricity,exp,value,2.668979790601412,primal,sell_electricity,exp,value,0.0,primal
2,t3,buy_electricity,exp,value,2.593985877769662,primal,sell_electricity,exp,value,0.0,primal
3,t4,buy_electricity,exp,value,2.4886778670562455,primal,sell_electricity,exp,value,0.0,primal
4,t5,buy_electricity,exp,value,8.820271911902928,primal,sell_electricity,exp,value,0.0,primal
5,t6,buy_electricity,exp,value,10.01290479668858,primal,sell_electricity,exp,value,0.0,primal
6,t7,buy_electricity,exp,value,2.5797419040662284,primal,sell_electricity,exp,value,0.0,primal
7,t8,buy_electricity,exp,value,2.7157392879749835,primal,sell_electricity,exp,value,0.0,primal
8,t9,buy_electricity,exp,value,2.784297993551028,primal,sell_electricity,exp,value,0.0,primal
9,t10,buy_electricity,exp,value,2.737226889392887,primal,sell_electricity,exp,value,0.0,primal
10,t11,buy_electricity,exp,value,2.4872184402803548,primal,sell_electricity,exp,value,0.0,primal
11,t12,buy_electricity,exp,value,2.2332786205706516,primal,sell_electricity,exp,value,0.0,primal
12,t13,buy_electricity,exp,value,2.095759693533556,primal,sell_electricity,exp,value,0.0,primal
13,t14,buy_electricity,exp,value,2.167712072285277,primal,sell_electricity,exp,value,0.0,primal
14,t15,buy_electricity,exp,value,2.4172645328982085,primal,sell_electricity,exp,value,0.0,primal
15,t16,buy_electricity,exp,value,2.826970990521238,primal,sell_electricity,exp,value,0.0,primal
16,t17,buy_electricity,exp,value,3.2448899269533955,primal,sell_electricity,exp,value,0.0,primal
17,t18,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
18,t19,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
19,t20,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
20,t21,buy_electricity,exp,value,0.22020601288627928,primal,sell_electricity,exp,value,0.0,primal
21,t22,buy_electricity,exp,value,6.146687939717812,primal,sell_electricity,exp,value,0.0,primal
22,t23,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
23,t24,buy_electricity,exp,value,2.8067932797662527,primal,sell_electricity,exp,value,0.0,primal
24,t25,buy_electricity,exp,value,2.7219381543705867,primal,sell_electricity,exp,value,0.0,primal
25,t26,buy_electricity,exp,value,5.273832865582511,primal,sell_electricity,exp,value,0.0,primal
26,t27,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
27,t28,buy_electricity,exp,value,8.872865045577143,primal,sell_electricity,exp,value,0.0,primal
28,t29,buy_electricity,exp,value,10.117238860482104,primal,sell_electricity,exp,value,0.0,primal
29,t30,buy_electricity,exp,value,2.8995617238860483,primal,sell_electricity,exp,value,0.0,primal
30,t31,buy_electricity,exp,value,3.2701485269052837,primal,sell_electricity,exp,value,0.0,primal
31,t32,buy_electricity,exp,value,3.6370930741936345,primal,sell_electricity,exp,value,0.0,primal
32,t33,buy_electricity,exp,value,3.759389131213927,primal,sell_electricity,exp,value,0.0,primal
33,t34,buy_electricity,exp,value,3.774025571319618,primal,sell_electricity,exp,value,0.0,primal
34,t35,buy_electricity,exp,value,3.687605822571917,primal,sell_electricity,exp,value,0.0,primal
35,t36,buy_electricity,exp,value,3.657304317821583,primal,sell_electricity,exp,value,0.0,primal
36,t37,buy_electricity,exp,value,3.5736034554146627,primal,sell_electricity,exp,value,0.0,primal
37,t38,buy_electricity,exp,value,3.551303479880481,primal,sell_electricity,exp,value,0.0,primal
38,t39,buy_electricity,exp,value,2.4065685126732212,primal,sell_electricity,exp,value,0.0,primal
39,t40,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
40,t41,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
41,t42,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
42,t43,buy_electricity,exp,value,4.029583637691746,primal,sell_electricity,exp,value,0.0,primal
43,t44,buy_electricity,exp,value,3.8283418553688824,primal,sell_electricity,exp,value,0.0,primal
44,t45,buy_electricity,exp,value,3.5617238860482106,primal,sell_electricity,exp,value,0.0,primal
45,t46,buy_electricity,exp,value,3.308984660336012,primal,sell_electricity,exp,value,0.0,primal
46,t47,buy_electricity,exp,value,3.249573898222547,primal,sell_electricity,exp,value,0.0,primal
47,t48,buy_electricity,exp,value,3.008400292184076,primal,sell_electricity,exp,value,0.0,primal
48,t49,buy_electricity,exp,value,2.8743608473338207,primal,sell_electricity,exp,value,0.0,primal
49,t50,buy_electricity,exp,value,2.7363038714390067,primal,sell_electricity,exp,value,0.0,primal
50,t51,buy_electricity,exp,value,9.02772260584011,primal,sell_electricity,exp,value,0.0,primal
51,t52,buy_electricity,exp,value,10.146700754808862,primal,sell_electricity,exp,value,0.0,primal
52,t53,buy_electricity,exp,value,2.689554419284149,primal,sell_electricity,exp,value,0.0,primal
53,t54,buy_electricity,exp,value,2.949598246895544,primal,sell_electricity,exp,value,0.0,primal
54,t55,buy_electricity,exp,value,3.332237643048454,primal,sell_electricity,exp,value,0.0,primal
55,t56,buy_electricity,exp,value,3.655568779319665,primal,sell_electricity,exp,value,0.0,primal
56,t57,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
57,t58,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
58,t59,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
59,t60,buy_electricity,exp,value,2.9413756642949993,primal,sell_electricity,exp,value,0.0,primal
60,t61,buy_electricity,exp,value,10.261480001023852,primal,sell_electricity,exp,value,0.0,primal
61,t62,buy_electricity,exp,value,6.285377747436298,primal,sell_electricity,exp,value,0.0,primal
62,t63,buy_electricity,exp,value,3.0270569576787025,primal,sell_electricity,exp,value,0.0,primal
63,t64,buy_electricity,exp,value,3.4220672017517453,primal,sell_electricity,exp,value,0.0,primal
64,t65,buy_electricity,exp,value,2.4121375760705,primal,sell_electricity,exp,value,0.0,primal
65,t66,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
66,t67,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
67,t68,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
68,t69,buy_electricity,exp,value,3.560628195763331,primal,sell_electricity,exp,value,0.0,primal
69,t70,buy_electricity,exp,value,3.2975407840272704,primal,sell_electricity,exp,value,0.0,primal
70,t71,buy_electricity,exp,value,3.2242512783053323,primal,sell_electricity,exp,value,0.0,primal
71,t72,buy_electricity,exp,value,2.979668858047236,primal,sell_electricity,exp,value,0.0,primal
72,t73,buy_electricity,exp,value,2.828463598733869,primal,sell_electricity,exp,value,0.0,primal
73,t74,buy_electricity,exp,value,2.7011200389578764,primal,sell_electricity,exp,value,0.0,primal
74,t75,buy_electricity,exp,value,2.6536401266130993,primal,sell_electricity,exp,value,0.0,primal
75,t76,buy_electricity,exp,value,10.13355247139031,primal,sell_electricity,exp,value,0.0,primal
76,t77,buy_electricity,exp,value,9.048297234522845,primal,sell_electricity,exp,value,0.0,primal
77,t78,buy_electricity,exp,value,2.9632335037740445,primal,sell_electricity,exp,value,0.0,primal
78,t79,buy_electricity,exp,value,3.320428536644753,primal,sell_electricity,exp,value,0.0,primal
79,t80,buy_electricity,exp,value,3.652432738181947,primal,sell_electricity,exp,value,0.0,primal
80,t81,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
81,t82,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
82,t83,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
