,snapshot,component_charge,fieldtype_charge,field_charge,value_charge,mode_charge,component_discharge,fieldtype_discharge,field_discharge,value_discharge,mode_discharge
0,t1,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
1,t2,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
2,t3,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
3,t4,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
4,t5,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
5,t6,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
6,t7,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
7,t8,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
8,t9,battery.charging,exp,in_electricity,5.20141550629916,primal,battery.discharging,exp,in_electricity,0.0,primal
9,t10,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
10,t11,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
11,t12,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
12,t13,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
13,t14,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
14,t15,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
15,t16,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
16,t17,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.329186819953361,primal
17,t18,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,7.6948376406386565,primal
18,t19,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,7.6948376406386565,primal
19,t20,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.426048237076174,primal
20,t21,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.2479321998137647,primal
21,t22,battery.charging,exp,in_electricity,1.5064229543514878,primal,battery.discharging,exp,in_electricity,0.0,primal
22,t23,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.0754369351157376,primal
23,t24,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
24,t25,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
25,t26,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
26,t27,battery.charging,exp,in_electricity,5.201415506299163,primal,battery.discharging,exp,in_electricity,0.0,primal
27,t28,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
28,t29,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
29,t30,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
30,t31,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
31,t32,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
32,t33,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
33,t34,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
34,t35,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
35,t36,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
36,t37,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.6664397841921486,primal
37,t38,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.6435604920420497,primal
38,t39,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.7241767902488534,primal
39,t40,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.8941253775915943,primal
40,t41,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.129834645235299,primal
41,t42,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,4.220950383736745,primal
42,t43,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.7209125269533088,primal
43,t44,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
44,t45,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
45,t46,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
46,t47,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
47,t48,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
48,t49,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
49,t50,battery.charging,exp,in_electricity,5.201415506299163,primal,battery.discharging,exp,in_electricity,0.0,primal
50,t51,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
51,t52,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
52,t53,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
53,t54,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
54,t55,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
55,t56,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
56,t57,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.81255613360723,primal
57,t58,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.608480759647334,primal
58,t59,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,3.275983089487137,primal
59,t60,battery.charging,exp,in_electricity,0.0,primal,battery.discharging,exp,in_electricity,0.0,primal
60,t61,battery.charging,exp,in_electricity,7.5,primal,battery.discharging,exp,in_electricity,0.0,primal
